Báo CáoQuảng cáo Tìm Kiếm Sản Phẩm - Shopee Việt Nam
Tên đăng nhập:,tovasa_store
Thời gian tạo báo cáo:,08/06/2022 10:38
Khoảng thời gian,01/05/2022 - 31/05/2022
Sản phẩm,Giày sandal siêu nhân người nhện bé trai dép quai hậu đi học cho bé mềm nhẹ SDA3
Trạng thái:,Đang chạy
Mã Người bán,145598609	
Mã sản phẩm,15449244791	

Thứ tự,Từ khóa,Trạng thái,Loại từ khóa,Lệnh tìm kiếm,Số lượt xem,Số lượt click,Tỷ Lệ Click,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,GMV,GMV trực tiếp,Chi phí,Thứ hạng trung bình,Doanh Thu/Chi Phí,ROI trực tiếp,CIR,CIR trực tiếp
24	,giày sandal siêu nhân cho bé trai,thông thường,Từ khóa mở rộng,giày tạp đi cho bé gái,3,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,17.666666666666668,0.0,0.0,0.00%,0.00%
25	,sandal siêu nhân bé trai,thông thường,Từ khóa mở rộng,Dép sandal siêu nhẹ,2,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,16.5,0.0,0.0,0.00%,0.00%
26	,sandal siêu nhân bé trai,thông thường,Từ khóa mở rộng,dép quai da cho bé trai,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,30.0,0.0,0.0,0.00%,0.00%
27	,dép quai hậu người nhện,thông thường,Từ khóa mở rộng,dép quay hậu nam học sinh,2,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,13.5,0.0,0.0,0.00%,0.00%
28	,sandal siêu nhân bé trai,thông thường,Từ khóa mở rộng,Giày đôi mẹ và bé trai,2,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,66.0,0.0,0.0,0.00%,0.00%
29	,dép quai hậu người nhện,thông thường,Từ khóa mở rộng,quai hậu cho bé trai,7,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,8.571428571428571,0.0,0.0,0.00%,0.00%
30	,sandal siêu nhân bé trai,thông thường,Từ khóa mở rộng,sandal cho bé 3 tuổi,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,9.0,0.0,0.0,0.00%,0.00%
31	,dép quai hậu người nhện,thông thường,Từ khóa mở rộng,giày sandan prada,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%
32	,dép quai hậu người nhện,thông thường,Từ khóa mở rộng,đôi dép quai hậu đế cao nữ,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,20.0,0.0,0.0,0.00%,0.00%
33	,dép quai hậu người nhện,thông thường,Từ khóa mở rộng,dép nhựa có quai cho bé,2,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,59.0,0.0,0.0,0.00%,0.00%
34	,dép quai hậu người nhện,thông thường,Từ khóa mở rộng,"Sandal nữ, nam, dép quai hậu 3 quai",1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,5.0,0.0,0.0,0.00%,0.00%
35	,dép quai hậu người nhện,thông thường,Từ khóa mở rộng,Dép quai hậu trẻ e,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,5.0,0.0,0.0,0.00%,0.00%
36	,dép quai hậu người nhện,thông thường,Từ khóa mở rộng,giày quai hậu đế bằng,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,13.0,0.0,0.0,0.00%,0.00%
37	,sandal siêu nhân bé trai,thông thường,Từ khóa mở rộng,sandal thai lan bé trai,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%
