Bảng kê tài khoản - Shopee Vietnam,,,Tóm tắt,,,,,Số Dư Cuối Kì,
Tiền Tệ:,VND,,Tiền Chuyển Vào,,Tiền Chuyển Ra,,,Bắt đầu:,5598482.0
Ngày:,2022-03-07-2022-03-07,,Số lần Giao dịch:,8,Số lần Giao dịch:,1,,Kêt thúc:,7616882.0
,,,Tổng Cộng:,2318400.0,Tổng Cộng:,300000.0


Ngày,Chuyển đến,Thanh Toán,Mô tả,Trạng thái,Số dư
2022-03-07 23:25,Số dư TK Shopee,494245.0,Doanh Thu từ Đơn Hàng #2203030KMFCB9H,,7616882.0
2022-03-07 23:06,Số dư TK Shopee,-300000.0,Nạp tiền quảng cáo Shopee,,7122637.0
2022-03-07 21:43,Số dư TK Shopee,420531.0,Doanh Thu từ Đơn Hàng #2203041XFMWYFV,,7422637.0
2022-03-07 18:16,Số dư TK Shopee,210663.0,Doanh Thu từ Đơn Hàng #2203054UKH0QK8,,7002106.0
2022-03-07 16:43,Số dư TK Shopee,118085.0,Doanh Thu từ Đơn Hàng #2203030DWUHR3G,,6791443.0
2022-03-07 16:08,Số dư TK Shopee,199876.0,Doanh Thu từ Đơn Hàng #2203054U8WT8KE,,6673358.0
2022-03-07 15:42,Số dư TK Shopee,163220.0,Doanh Thu từ Đơn Hàng #220301QNR3HFQG,,6473482.0
2022-03-07 15:31,Số dư TK Shopee,291924.0,Doanh Thu từ Đơn Hàng #2203054YB86040,,6310262.0
2022-03-07 09:34,Số dư TK Shopee,419856.0,Doanh Thu từ Đơn Hàng #2203041YQXJCNK,,6018338.0
