Bảng kê tài khoản - Shopee Vietnam,,,Tóm tắt,,,,,Số Dư Cuối Kì,
Tiền Tệ:,VND,,Tiền Chuyển Vào,,Tiền Chuyển Ra,,,Bắt đầu:,9417666.0
Ngày:,2022-02-01-2022-02-24,,Số lần Giao dịch:,107,Số lần Giao dịch:,5,,Kêt thúc:,9589256.0
,,,Tổng Cộng:,16067788.0,Tổng Cộng:,15896198.0


Ngày,Chuyển đến,Thanh Toán,Mô tả,Trạng thái,Số dư
2022-02-24 20:04,Số dư TK Shopee,141524.0,Doanh Thu từ Đơn Hàng #220218S91MX3B3,,9589256.0
2022-02-24 14:54,Số dư TK Shopee,163919.0,Doanh Thu từ Đơn Hàng #2202226BSM33XW,,9447732.0
2022-02-24 11:40,Số dư TK Shopee,232575.0,Doanh Thu từ Đơn Hàng #2202129YFR3N1K,,9283813.0
2022-02-24 08:30,Số dư TK Shopee,125986.0,Doanh Thu từ Đơn Hàng #220215HBG4P88M,,9051238.0
2022-02-24 08:25,Số dư TK Shopee,276650.0,Doanh Thu từ Đơn Hàng #220214FY6HWVJT,,8925252.0
2022-02-24 08:06,Số dư TK Shopee,125443.0,Doanh Thu từ Đơn Hàng #220215HFMES57P,,8648602.0
2022-02-24 07:54,Số dư TK Shopee,317223.0,Doanh Thu từ Đơn Hàng #220215HFG97S7G,,8523159.0
2022-02-24 07:11,Số dư TK Shopee,125744.0,Doanh Thu từ Đơn Hàng #220217PTAS7NCS,,8205936.0
2022-02-23 22:05,Số dư TK Shopee,145304.0,Doanh Thu từ Đơn Hàng #220215HGP2KJRB,,8080192.0
2022-02-23 17:04,Số dư TK Shopee,125744.0,Doanh Thu từ Đơn Hàng #220219UEVF3JR5,,7934888.0
2022-02-23 16:21,Số dư TK Shopee,174908.0,Doanh Thu từ Đơn Hàng #220218T3AUC4DA,,7809144.0
2022-02-23 15:49,Số dư TK Shopee,173425.0,Doanh Thu từ Đơn Hàng #2202200GU3JV3R,,7634236.0
2022-02-23 14:29,Số dư TK Shopee,125689.0,Doanh Thu từ Đơn Hàng #220219VB5954D4,,7460811.0
2022-02-23 08:28,Số dư TK Shopee,96624.0,Doanh Thu từ Đơn Hàng #220215HFKTRY5K,,7335122.0
2022-02-23 08:02,Số dư TK Shopee,236258.0,Doanh Thu từ Đơn Hàng #220215HGT83SAG,,7238498.0
2022-02-23 07:22,Số dư TK Shopee,135986.0,Doanh Thu từ Đơn Hàng #220213B8SSHA37,,7002240.0
2022-02-23 07:19,Số dư TK Shopee,209984.0,Doanh Thu từ Đơn Hàng #220215HGAX4D2A,,6866254.0
2022-02-23 07:11,Số dư TK Shopee,141777.0,Doanh Thu từ Đơn Hàng #220216KUN895DN,,6656270.0
2022-02-22 18:41,Số dư TK Shopee,118389.0,Doanh Thu từ Đơn Hàng #2202200WQR33ER,,6514493.0
2022-02-22 17:33,Số dư TK Shopee,96426.0,Doanh Thu từ Đơn Hàng #220215HFVKBWFH,,6396104.0
2022-02-22 16:22,Số dư TK Shopee,118389.0,Doanh Thu từ Đơn Hàng #2202201PC1GEY4,,6299678.0
2022-02-22 13:26,Số dư TK Shopee,135337.0,Doanh Thu từ Đơn Hàng #220215J8GWXEA1,,6181289.0
