Bảng kê tài khoản - Shopee Vietnam,,,Tóm tắt,,,,,Số Dư Cuối Kì,
Tiền Tệ:,VND,,Tiền Chuyển Vào,,Tiền Chuyển Ra,,,Bắt đầu:,9417666.0
Ngày:,2022-02-01-2022-02-24,,Số lần Giao dịch:,107,Số lần Giao dịch:,5,,Kêt thúc:,9589256.0
,,,Tổng Cộng:,16067788.0,Tổng Cộng:,15896198.0


Ngày,Chuyển đến,Thanh Toán,Mô tả,Trạng thái,Số dư
2022-02-22 12:36,Số dư TK Shopee,135436.0,Doanh Thu từ Đơn Hàng #220213DACD0SF1,,6045952.0
2022-02-22 10:46,Số dư TK Shopee,175315.0,Doanh Thu từ Đơn Hàng #220220VS2VN7F1,,5910516.0
2022-02-22 10:26,Số dư TK Shopee,112843.0,Doanh Thu từ Đơn Hàng #220215HGE2B373,,5735201.0
2022-02-22 07:45,Số dư TK Shopee,141458.0,Doanh Thu từ Đơn Hàng #220217P83KEK70,,5622358.0
2022-02-22 07:29,Số dư TK Shopee,272324.0,Doanh Thu từ Đơn Hàng #22021189P653HY,,5480900.0
2022-02-22 00:33,Số dư TK Shopee,174732.0,Doanh Thu từ Đơn Hàng #220218S38J91RU,,5208576.0
2022-02-21 14:09,Số dư TK Shopee,135548.0,Doanh Thu từ Đơn Hàng #220217P570Q5UR,,5033844.0
2022-02-21 12:55,Số dư TK Shopee,140875.0,Doanh Thu từ Đơn Hàng #220212AQ8X6CY2,,4898296.0
2022-02-21 10:42,Số dư TK Shopee,125557.0,Doanh Thu từ Đơn Hàng #220218RWPQWSPN,,4757421.0
2022-02-20 15:02,Số dư TK Shopee,236258.0,Doanh Thu từ Đơn Hàng #220215HFKYENE9,,4631864.0
2022-02-20 14:37,Số dư TK Shopee,126426.0,Doanh Thu từ Đơn Hàng #220215HF05PAY2,,4395606.0
2022-02-20 07:30,Số dư TK Shopee,165699.0,Doanh Thu từ Đơn Hàng #22021164WGQKGB,,4269180.0
2022-02-20 07:11,Số dư TK Shopee,232731.0,Doanh Thu từ Đơn Hàng #22020809YVRU9X,,4103481.0
2022-02-20 07:02,Số dư TK Shopee,135876.0,Doanh Thu từ Đơn Hàng #2202117Q1V7A81,,3870750.0
2022-02-19 20:24,Số dư TK Shopee,137572.0,Doanh Thu từ Đơn Hàng #2202118H1612NJ,,3734874.0
2022-02-19 11:02,Số dư TK Shopee,135546.0,Doanh Thu từ Đơn Hàng #220213B62BYRNN,,3597302.0
2022-02-19 07:12,Số dư TK Shopee,133541.0,Doanh Thu từ Đơn Hàng #220206R9X6B8UN,,3461756.0
2022-02-18 22:30,Số dư TK Shopee,135909.0,Doanh Thu từ Đơn Hàng #220212A3KRYY0X,,3328215.0
2022-02-18 22:06,Số dư TK Shopee,126129.0,Doanh Thu từ Đơn Hàng #220216MU1SRU52,,3192306.0
2022-02-18 16:03,Số dư TK Shopee,126292.0,Doanh Thu từ Đơn Hàng #220216MTU437Y6,,3066177.0
2022-02-18 15:10,Số dư TK Shopee,125557.0,Doanh Thu từ Đơn Hàng #220214FREPVX44,,2939885.0
2022-02-18 11:36,Số dư TK Shopee,141777.0,Doanh Thu từ Đơn Hàng #220215G7W2FJMB,,2814328.0
2022-02-18 10:19,Số dư TK Shopee,135986.0,Doanh Thu từ Đơn Hàng #2202117RPP4M0G,,2672551.0
2022-02-18 08:33,Số dư TK Shopee,136316.0,Doanh Thu từ Đơn Hàng #2202129R3S1N1F,,2536565.0
2022-02-18 07:53,Số dư TK Shopee,125689.0,Doanh Thu từ Đơn Hàng #220214F1ACMM65,,2400249.0
2022-02-17 15:00,Số dư TK Shopee,122294.0,Doanh Thu từ Đơn Hàng #220211791P372X,,2274560.0
2022-02-17 05:58,Số dư TK Shopee,137195.0,Doanh Thu từ Đơn Hàng #220207TFP5SRV7,,2152266.0
2022-02-16 18:46,Số dư TK Shopee,135986.0,Doanh Thu từ Đơn Hàng #2202116UV4U0CM,,2015071.0
2022-02-16 18:26,Số dư TK Shopee,125656.0,Doanh Thu từ Đơn Hàng #2202105D62KG2X,,1879085.0
2022-02-16 17:54,Số dư TK Shopee,135986.0,Doanh Thu từ Đơn Hàng #220209264QX54B,,1753429.0
2022-02-16 16:52,Số dư TK Shopee,135986.0,Doanh Thu từ Đơn Hàng #2202117BGKD4UF,,1617443.0
2022-02-16 12:47,Số dư TK Shopee,136384.0,Doanh Thu từ Đơn Hàng #220213C38TDV0Q,,1481457.0
2022-02-16 07:52,Số dư TK Shopee,151997.0,Doanh Thu từ Đơn Hàng #220208VPT6RNYH,,1345073.0
2022-02-16 07:51,Số dư TK Shopee,137319.0,Doanh Thu từ Đơn Hàng #220211745S2CCS,,1193076.0
2022-02-15 21:18,Số dư TK Shopee,125854.0,Doanh Thu từ Đơn Hàng #220209255CYJV1,,1055757.0
2022-02-15 20:28,Số dư TK Shopee,136107.0,Doanh Thu từ Đơn Hàng #2202104R58K1F0,,929903.0
2022-02-15 19:33,Số dư TK Shopee,133464.0,Doanh Thu từ Đơn Hàng #220206R9VVAU9U,,793796.0
2022-02-15 13:44,Số dư TK Shopee,136349.0,Doanh Thu từ Đơn Hàng #220212ATHU3R5J,,660332.0
2022-02-15 12:19,Số dư TK Shopee,133464.0,Doanh Thu từ Đơn Hàng #220206R9SV0V8S,,523983.0
2022-02-15 10:50,Số dư TK Shopee,135986.0,Doanh Thu từ Đơn Hàng #2202117GAK1EDT,,390519.0
2022-02-15 10:34,Số dư TK Shopee,254533.0,Doanh Thu từ Đơn Hàng #220205NRANP6WB,,254533.0
2022-02-15 03:42,Tài Khoản Ngân Hàng,-4988018.0,Rút tiền tự động,Giao dịch thành công,0.0
2022-02-14 20:44,Số dư TK Shopee,136217.0,Doanh Thu từ Đơn Hàng #220205NRSN4502,,4988018.0
2022-02-14 19:07,Số dư TK Shopee,151634.0,Doanh Thu từ Đơn Hàng #220213CHB4TQQT,,4851801.0
2022-02-14 18:13,Số dư TK Shopee,303719.0,Doanh Thu từ Đơn Hàng #220213CJY6KB8N,,4700167.0
2022-02-14 14:38,Số dư TK Shopee,133904.0,Doanh Thu từ Đơn Hàng #220206R7KHCXXP,,4396448.0
2022-02-14 14:32,Số dư TK Shopee,133904.0,Doanh Thu từ Đơn Hàng #220206R4N5M1VA,,4262544.0
2022-02-14 14:01,Số dư TK Shopee,145986.0,Doanh Thu từ Đơn Hàng #220207TGGEWADG,,4128640.0
2022-02-14 13:22,Số dư TK Shopee,151425.0,Doanh Thu từ Đơn Hàng #2202092JTJ5KH0,,3982654.0
2022-02-14 12:31,Số dư TK Shopee,136479.0,Doanh Thu từ Đơn Hàng #220213B7BTNQFT,,3831229.0
2022-02-14 11:33,Số dư TK Shopee,141728.0,Doanh Thu từ Đơn Hàng #220206R1JH9FXV,,3694750.0
2022-02-14 11:09,Số dư TK Shopee,133904.0,Doanh Thu từ Đơn Hàng #220206RGEWHKGD,,3553022.0
2022-02-14 08:21,Số dư TK Shopee,57669.0,Doanh Thu từ Đơn Hàng #220208VRFPR1NB,,3419118.0
2022-02-13 21:13,Số dư TK Shopee,135909.0,Doanh Thu từ Đơn Hàng #22021182B4FYR8,,3361449.0
2022-02-13 12:40,Số dư TK Shopee,141304.0,Doanh Thu từ Đơn Hàng #22020935N4QGFB,,3225540.0
2022-02-13 10:24,Số dư TK Shopee,136307.0,Doanh Thu từ Đơn Hàng #2202118G4YT99N,,3084236.0
2022-02-12 20:56,Số dư TK Shopee,151634.0,Doanh Thu từ Đơn Hàng #22020928GKT0RU,,2947929.0
2022-02-12 20:27,Số dư TK Shopee,96921.0,Doanh Thu từ Đơn Hàng #220207U6Y8B8FV,,2796295.0
2022-02-12 11:28,Số dư TK Shopee,135986.0,Doanh Thu từ Đơn Hàng #2202093FA5FSBK,,2699374.0
2022-02-11 23:06,Số dư TK Shopee,78305.0,Doanh Thu từ Đơn Hàng #220207UD9VNXT9,,2563388.0
2022-02-11 20:55,Số dư TK Shopee,152162.0,Doanh Thu từ Đơn Hàng #2202093CMQVU3X,,2485083.0
2022-02-11 16:06,Số dư TK Shopee,133904.0,Doanh Thu từ Đơn Hàng #220206RAB9ACJS,,2332921.0
2022-02-11 15:57,Số dư TK Shopee,133497.0,Doanh Thu từ Đơn Hàng #220206R8NXH4P0,,2199017.0
2022-02-11 15:44,Số dư TK Shopee,141447.0,Doanh Thu từ Đơn Hàng #2202080336EKM1,,2065520.0
2022-02-11 14:52,Số dư TK Shopee,135986.0,Doanh Thu từ Đơn Hàng #2202092R6P05HV,,1924073.0
2022-02-11 14:40,Số dư TK Shopee,133904.0,Doanh Thu từ Đơn Hàng #220206QYPNTWWY,,1788087.0
2022-02-10 21:07,Số dư TK Shopee,87009.0,Doanh Thu từ Đơn Hàng #220207TF0BQU05,,1654183.0
2022-02-10 21:03,Số dư TK Shopee,133761.0,Doanh Thu từ Đơn Hàng #220206RPE244QT,,1567174.0
2022-02-10 18:54,Số dư TK Shopee,133904.0,Doanh Thu từ Đơn Hàng #220206RR2HGQR6,,1433413.0
2022-02-10 18:46,Số dư TK Shopee,135909.0,Doanh Thu từ Đơn Hàng #220207TFR3FADM,,1299509.0
2022-02-10 17:35,Số dư TK Shopee,101092.0,Doanh Thu từ Đơn Hàng #220207UBHNR37B,,1163600.0
2022-02-10 16:45,Số dư TK Shopee,87482.0,Doanh Thu từ Đơn Hàng #220207TEVRVVVC,,1062508.0
2022-02-10 16:06,Shopee Đảm Bảo,-527700.0,Thanh toán bằng Số dư TK Shopee 2202105AM39E8W,,975026.0
2022-02-10 15:59,Số dư TK Shopee,516620.0,Doanh Thu từ Đơn Hàng 2202105A53HGNG,,1502726.0
2022-02-10 15:58,Shopee Đảm Bảo,-516620.0,Thanh toán bằng Số dư TK Shopee 2202105A53HGNG,,986106.0
2022-02-10 14:56,Số dư TK Shopee,78305.0,Doanh Thu từ Đơn Hàng #220207TSWJRQPH,,1502726.0
2022-02-10 10:55,Số dư TK Shopee,110872.0,Doanh Thu từ Đơn Hàng #220207TEQ15V18,,1424421.0
2022-02-09 21:30,Số dư TK Shopee,110872.0,Doanh Thu từ Đơn Hàng #220207TGNT3UKY,,1313549.0
2022-02-09 21:11,Shopee Đảm Bảo,-446194.0,Thanh toán bằng Số dư TK Shopee 2202093B5NEAK1,,1202677.0
2022-02-09 00:03,Điều chỉnh bởi Shopee,3200.0,Shopee thanh toán lệch cước đơn hàng 220110DW3KS6SN,,1648871.0
2022-02-09 00:02,Điều chỉnh bởi Shopee,2300.0,Shopee thanh toán lệch cước đơn hàng 220115SKAH84JQ,,1645671.0
2022-02-08 22:39,Điều chỉnh bởi Shopee,5900.0,Shopee thanh toán lệch cước đơn hàng 220114RCYT2H5Q,,1643371.0
2022-02-08 18:37,Số dư TK Shopee,254300.0,Doanh Thu từ Đơn Hàng #2201319B5PXAGJ,,1637471.0
2022-02-08 10:54,Số dư TK Shopee,133904.0,Doanh Thu từ Đơn Hàng #220206RNS7FA8H,,1383171.0
2022-02-07 10:17,Số dư TK Shopee,253499.0,Doanh Thu từ Đơn Hàng #220122FR1G20Y1,,1249267.0
2022-02-07 09:32,Số dư TK Shopee,253719.0,Doanh Thu từ Đơn Hàng #220125QH8FHDUM,,995768.0
2022-02-02 07:27,Số dư TK Shopee,355992.0,Doanh Thu từ Đơn Hàng #220116VY3GWXM4,,742049.0
2022-02-02 07:21,Số dư TK Shopee,204874.0,Doanh Thu từ Đơn Hàng #220123JVY7QF7U,,386057.0
2022-02-01 07:54,Số dư TK Shopee,181183.0,Doanh Thu từ Đơn Hàng #2201172JABMPT9,,181183.0
2022-02-01 02:41,Tài Khoản Ngân Hàng,-9417666.0,Rút tiền tự động,Giao dịch thành công,0.0
